x,y
1.0,0.031071
0.99059,0.00067784
0.98902,0.0020335
0.98746,0.0029592
0.98589,0.0044534
0.98434,0.0057362
0.98277,0.0070627
0.98121,0.0083746
0.97964,0.0097012
0.97809,0.01102
0.97652,0.012303
0.97496,0.013564
0.97339,0.014818
0.97184,0.016035
0.97027,0.017318
0.96871,0.018615
0.96714,0.019949
0.96558,0.021261
0.96402,0.022566
0.96246,0.023776
0.96089,0.025022
0.95933,0.026239
0.95776,0.02742
0.9562,0.028477
0.95463,0.029534
0.95307,0.030612
0.9515,0.031706
0.94994,0.032879
0.94837,0.034198
0.94681,0.035415
0.94524,0.036589
0.94367,0.037719
0.94211,0.038805
0.94054,0.039905
0.93898,0.041028
0.93741,0.042172
0.93584,0.043353
0.93427,0.044534
0.93271,0.045627
0.93114,0.046735
0.92957,0.047894
0.928,0.048972
0.92644,0.050058
0.92487,0.051166
0.9233,0.052303
0.92173,0.053404
0.92017,0.054534
0.9186,0.055649
0.91703,0.056771
0.91546,0.057945
0.9139,0.059118
0.91232,0.06027
0.91076,0.061399
0.90919,0.062515
0.90762,0.063608
0.90605,0.064701
0.90449,0.065831
0.90291,0.066983
0.90135,0.068178
0.89977,0.069329
0.8982,0.070474
0.89664,0.071618
0.89506,0.072777
0.8935,0.073921
0.89193,0.07508
0.89036,0.076224
0.88879,0.077347
0.88722,0.078491
0.88565,0.079636
0.88409,0.080816
0.88251,0.082019
0.88095,0.083243
0.87937,0.08441
0.87781,0.085576
0.87624,0.086662
0.87467,0.087697
0.8731,0.088783
0.87153,0.089905
0.86996,0.091071
0.8684,0.092303
0.86682,0.093557
0.86526,0.094789
0.86368,0.096006
0.86212,0.097128
0.86054,0.098273
0.85897,0.099388
0.85741,0.10047
0.85583,0.10152
0.85427,0.1027
0.85269,0.10389
0.85113,0.10513
0.84955,0.10624
0.84799,0.10739
0.84641,0.10851
0.84485,0.10962
0.84328,0.1108
0.84171,0.11203
0.84014,0.11329
0.83857,0.11457
0.837,0.11592
0.83543,0.11713
0.83386,0.11834
0.83229,0.11943
0.83072,0.12055
0.82915,0.12164
0.82758,0.12275
0.82601,0.12382
0.82444,0.12492
0.82287,0.12611
0.8213,0.12741
0.81973,0.12878
